Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1.0,1.0,0.43315207853187637,0.125,0.0,0.36814570743360975,1.0
1,0.0,0.0,0.5794308998041521,0.125,0.0,0.6150971127131478,0.0
1,1.0,0.0,0.4623461705678389,0.0,0.0,0.43828637974458046,1.0
1,0.0,0.0,0.5638056570361273,0.125,0.0,0.5951117782251508,1.0
0,1.0,1.0,0.5638056570361273,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.5072529421593373,0.0,0.0,0.45708716171395325,0.5
0,0.0,1.0,0.6571603408131788,0.0,0.0,0.5893723924921064,1.0
0,1.0,1.0,0.3025785219266238,0.375,0.16666666666666666,0.5236656813522597,1.0
1,1.0,0.0,0.4675096096866259,0.0,0.3333333333333333,0.4783210927660373,1.0
1,0.5,0.0,0.3662656893461075,0.125,0.0,0.561381211262582,0.0
1,1.0,0.0,0.32945315255386226,0.125,0.16666666666666666,0.5133270005850489,1.0
1,0.0,0.0,0.6767077140108874,0.0,0.0,0.5477878099218253,1.0
0,1.0,1.0,0.4160650722164084,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.584289009059101,0.125,0.8333333333333333,0.5665407176699173,1.0
0,1.0,0.0,0.3662656893461075,0.0,0.0,0.4167698439704556,1.0
1,0.5,0.0,0.6620516105986034,0.0,0.0,0.5105983381770075,1.0
0,1.0,1.0,0.3025785219266238,0.5,0.16666666666666666,0.5573255055537766,0.5
1,0.5,1.0,0.5072529421593373,0.0,0.0,0.4895936900036676,1.0
0,1.0,0.0,0.5421291926909031,0.125,0.0,0.5147917997571257,1.0
1,1.0,0.0,0.5072529421593373,0.0,0.0,0.3464032120058173,0.0
0,0.5,1.0,0.5638056570361273,0.0,0.0,0.5373931885097546,1.0
1,0.5,1.0,0.5579035407552049,0.0,0.0,0.4895936900036676,1.0
1,1.0,0.0,0.3705765930857424,0.0,0.0,0.441529406577603,0.5
